屏幕坐标        	错失率     	接受率     	错失数     	接受数     	总数      	接受预测点坐标	
(409.0,814.0)  	0.0     	0.25    	0       	7       	30.0    	,(309.0329197382116,826.7225209229919),(442.64188844379106,703.2790408285655),(381.1132389241448,688.2169103140479),(442.64188844379106,703.2790408285655),(383.9933724837441,688.900139448551),(403.2332138213827,693.5204951310188),(347.27873355155987,817.3052350844275)	
(768.0,814.0)  	0.0     	0.14    	0       	4       	30.0    	,(640.4025714390948,757.4651565161),(640.4025714390948,757.4651565161),(640.4025714390948,757.4651565161),(857.9253560889465,825.1508584196075)	
(1127.0,814.0) 	0.0     	0.11    	0       	3       	30.0    	,(1077.2108825327898,798.2867664973342),(1091.2894780538468,904.9420575386749),(1046.654282764574,842.8281336511883)	
(1486.0,814.0) 	0.0     	0.14    	0       	4       	30.0    	,(1542.4610381677667,944.0057390371554),(1419.4992670872323,753.9073063282458),(1562.4192168418117,928.7131743033274),(1581.6606754556965,913.1329716731436)	
平均准确率=0.22

屏幕坐标        	错失率     	接受率     	错失数     	接受数     	总数      	接受预测点坐标	
(882,351)      	0.0     	0.0     	0       	0       	30.0    		
(744,383)      	0.0     	0.0     	0       	0       	30.0    		
(1032,227)     	0.0     	0.0     	0       	0       	30.0    		
(85,698)       	0.0     	0.0     	0       	0       	30.0    		
(1460,623)     	0.0     	0.0     	0       	0       	30.0    		
(1450,41)      	0.0     	0.0     	0       	0       	30.0    		
(286,197)      	0.0     	0.54    	0       	15      	30.0    	,(349.9665943741668,167.99763813566096),(349.9665943741668,167.99763813566096),(199.12859003419504,272.65783200557667),(349.9665943741668,167.99763813566096),(349.9665943741668,167.99763813566096),(349.9665943741668,167.99763813566096),(349.9665943741668,167.99763813566096),(349.9665943741668,167.99763813566096),(349.9665943741668,167.99763813566096),(349.9665943741668,167.99763813566096),(337.7625727229405,122.0586301336948),(349.9665943741668,167.99763813566096),(349.9665943741668,167.99763813566096),(349.9665943741668,167.99763813566096),(349.9665943741668,167.99763813566096)	
(1180,576)     	0.0     	0.0     	0       	0       	30.0    		
(401,175)      	0.0     	0.68    	0       	19      	30.0    	,(310.34332040403683,192.2141890710957),(446.42870945179783,190.1205464934667),(497.48848992313526,104.97041233715595),(511.46734372780276,247.4149976300139),(310.34332040403683,192.2141890710957),(452.4191655217527,187.8902153052279),(399.52351087356897,121.26730930038343),(341.8019668525312,98.2102209437121),(420.1017037553112,57.49512273607729),(349.9665943741668,167.99763813566096),(435.10575549685825,125.08513447693849),(446.4059680282014,168.40275606401133),(542.5130037478133,169.26376283178865),(502.36136983077097,190.6351555516876),(366.91645458779146,40.844989718255874),(406.51851408461516,191.19672789167817),(502.36136983077097,190.6351555516876),(349.9665943741668,167.99763813566096),(532.1166003363535,128.5675276596096)	
平均准确率=0.14

屏幕坐标        	错失率     	接受率     	错失数     	接受数     	总数      	接受预测点坐标	
(53,177)       	0.0     	0.03    	0       	2       	60.0    	,(44.384712896243855,83.7175469122376),(0.9467534758456395,295.9335572357886)	
(204,728)      	0.0     	0.16    	0       	9       	60.0    	,(80.9013169801151,701.1476062490692),(229.37634668129112,619.6082271135456),(229.37634668129112,619.6082271135456),(229.37634668129112,619.6082271135456),(229.37634668129112,619.6082271135456),(156.67116973134978,665.1136733918756),(156.67116973134978,665.1136733918756),(229.37634668129112,619.6082271135456),(156.67116973134978,665.1136733918756)	
(1387,686)     	0.0     	0.09    	0       	5       	60.0    	,(1396.9987301853312,578.322062822208),(1396.9987301853312,578.322062822208),(1396.9987301853312,578.322062822208),(1396.9987301853312,578.322062822208),(1396.9987301853312,578.322062822208)	
(961,25)       	0.0     	0.0     	0       	0       	60.0    		
(102,133)      	0.0     	0.09    	0       	5       	60.0    	,(192.6037837090464,45.50028376591217),(194.85048367793297,91.82586975068261),(50.372289004192,250.77757953869877),(89.0721511656468,-4.794704697938869),(44.384712896243855,83.7175469122376)	
(358,269)      	0.0     	0.03    	0       	2       	60.0    	,(282.97594882312274,368.52644376608805),(248.45773900154063,200.90783205706248)	
(146,763)      	0.0     	0.12    	0       	7       	60.0    	,(126.82654408782366,634.3677531682406),(156.67116973134978,665.1136733918756),(156.67116973134978,665.1136733918756),(156.67116973134978,665.1136733918756),(156.67116973134978,665.1136733918756),(156.67116973134978,665.1136733918756),(156.67116973134978,665.1136733918756)	
(1246,429)     	0.0     	0.05    	0       	3       	60.0    	,(1134.9292557001013,426.57424741250725),(1197.0322877924918,357.4306916318674),(1183.379026199294,460.4663969643734)	
(1519,355)     	0.0     	0.0     	0       	0       	60.0    		
平均准确率=0.06

屏幕坐标        	错失率     	接受率     	错失数     	接受数     	总数      	接受预测点坐标	
(1501,373)     	0.92    	0.0     	55      	0       	60.0    		
(483,151)      	0.15    	0.07    	9       	4       	60.0    	,(439.3714347880881,280.30392811475394),(547.2244639728558,149.2676577456033),(439.3714347880881,280.30392811475394),(414.60735048731317,112.7344286871097)	
(1382,833)     	0.0     	0.0     	0       	0       	60.0    		
(690,584)      	0.0     	0.14    	0       	8       	60.0    	,(576.3792164750238,556.0870845308759),(559.8435087710718,555.2469464286582),(576.3792164750238,556.0870845308759),(559.8435087710718,555.2469464286582),(559.8435087710718,555.2469464286582),(559.8435087710718,555.2469464286582),(559.8435087710718,555.2469464286582),(559.8435087710718,555.2469464286582)	
(300,292)      	0.0     	0.16    	0       	9       	60.0    	,(381.3409398788175,407.85572287396866),(221.92355278499008,209.1714099279941),(439.3714347880881,280.30392811475394),(439.3714347880881,280.30392811475394),(372.0443466127515,405.6866516393808),(372.0443466127515,405.6866516393808),(255.2872167865196,372.7131561129288),(439.3714347880881,280.30392811475394),(439.3714347880881,280.30392811475394)	
(964,655)      	0.0     	0.09    	0       	5       	60.0    	,(1021.0516354954876,702.0066393146049),(909.8129300906201,526.6946264031824),(898.4885404905485,731.3936715696087),(909.8129300906201,526.6946264031824),(909.8129300906201,526.6946264031824)	
(631,719)      	0.0     	0.19    	0       	11      	60.0    	,(655.5514984532805,662.6204653149182),(655.5514984532805,662.6204653149182),(533.9057362849346,660.3686085055408),(534.7781490629247,755.095373393896),(655.5514984532805,662.6204653149182),(655.5514984532805,662.6204653149182),(655.5514984532805,662.6204653149182),(560.755147408702,661.7951225907781),(533.9057362849346,660.3686085055408),(657.8130354654844,757.4566480195657),(679.8497625610055,841.261043691968)	
(203,652)      	0.0     	0.17    	0       	10      	60.0    	,(288.3359405758142,719.6836769974097),(158.61843076299635,766.6892951397518),(270.40323212121643,715.5481357861885),(287.5602452793157,623.308755475098),(270.40323212121643,715.5481357861885),(270.40323212121643,715.5481357861885),(287.5602452793157,623.308755475098),(287.5602452793157,623.308755475098),(287.5602452793157,623.308755475098),(270.40323212121643,715.5481357861885)	
(1005,398)     	0.0     	0.07    	0       	4       	60.0    	,(1051.209358887652,375.63464891627706),(1051.209358887652,375.63464891627706),(940.5601623992745,407.773432213201),(1051.209358887652,375.63464891627706)	
平均准确率=0.1
屏幕坐标        	错失率     	接受率     	错失数     	接受数     	总数      	接受预测点坐标	
(1488,398)     	0.0     	0.12    	0       	7       	60.0    	,(1429.9652540158963,437.3508294301894),(1429.9652540158963,437.3508294301894),(1396.5221428554514,456.3873032637592),(1448.585676151717,321.1207880793144),(1608.9900281168434,426.6924092158413),(1462.5976258779701,534.5245960969181),(1543.6916526514428,476.6343051106851)	
(368,775)      	0.0     	0.09    	0       	5       	60.0    	,(431.3983668637055,709.4474052966251),(414.0173160923863,873.5214624370201),(485.2451801906759,748.3919406359175),(423.0835164906907,873.8281540114394),(352.159480800732,704.9194596161094)	
(1067,109)     	0.0     	0.16    	0       	9       	60.0    	,(1153.011710138902,152.0717306519574),(995.2542906875433,98.01378134473578),(1153.011710138902,152.0717306519574),(995.2542906875433,98.01378134473578),(1153.011710138902,152.0717306519574),(995.2542906875433,98.01378134473578),(1153.011710138902,152.0717306519574),(1153.011710138902,152.0717306519574),(1006.3908397421018,177.0647844659203)	
(1237,42)      	0.0     	0.17    	0       	10      	60.0    	,(1299.5599855109235,118.30400739991467),(1120.8683265967663,23.781474649369557),(1131.3519744743,44.37156440681201),(1148.6276269399555,78.59226074593084),(1136.0208627604613,-13.74325542167162),(1124.0595305283846,23.43413776248576),(1129.4770699140602,-12.155057093191544),(1301.9283681675897,50.39607070904617),(1306.3380490449401,-6.287505900066662),(1148.6276269399555,78.59226074593084)	
(225,585)      	0.0     	0.12    	0       	7       	60.0    	,(195.9271195134296,533.3586419482949),(272.88897234496505,696.5692679283661),(165.47130572635115,527.8267842698328),(292.34294372976206,547.5418168769543),(292.34294372976206,547.5418168769543),(292.34294372976206,547.5418168769543),(195.9271195134296,533.3586419482949)	
(1079,609)     	0.0     	0.22    	0       	13      	60.0    	,(1072.2713102683426,475.4803875527364),(1092.6930583251597,740.6852012981765),(1089.9649405564742,469.97299857317455),(1092.6930583251597,740.6852012981765),(1100.0632805072833,594.9656428190642),(1082.3821303753343,472.35436734249527),(1082.3821303753343,472.35436734249527),(1071.3500181671793,605.5123977682141),(1052.0482762298834,481.5639543200073),(1190.96102514153,558.233211093619),(1071.3500181671793,605.5123977682141),(951.6664161680505,644.0169150047295),(953.6147202527297,563.1182126661511)	
(465,127)      	0.0     	0.0     	0       	0       	60.0    		
(891,636)      	0.0     	0.09    	0       	5       	60.0    	,(925.6122083751422,514.4969383413646),(992.3220326108851,698.3093128343666),(925.6122083751422,514.4969383413646),(925.6122083751422,514.4969383413646),(925.6122083751422,514.4969383413646)	
(115,571)      	0.0     	0.0     	0       	0       	60.0    		
平均准确率=0.11

屏幕坐标        	错失率     	接受率     	错失数     	接受数     	总数      	接受预测点坐标	
屏幕坐标        	错失率     	接受率     	错失数     	接受数     	总数      	接受预测点坐标	
屏幕坐标        	错失率     	接受率     	错失数     	接受数     	总数      	接受预测点坐标	
屏幕坐标        	错失率     	接受率     	错失数     	接受数     	总数      	接受预测点坐标	
屏幕坐标        	错失率     	接受率     	错失数     	接受数     	总数      	接受预测点坐标	
(1361,688)     	0.32    	0.0     	19      	0       	60.0    		
(487,82)       	0.0     	0.0     	0       	0       	60.0    		
(1225,283)     	0.0     	0.21    	0       	12      	60.0    	,(1172.0940908886218,265.8764308590476),(1207.6643439571544,356.34710640536974),(1193.9514051783858,315.6140822032032),(1193.9514051783858,315.6140822032032),(1214.4511102739957,385.20957054166365),(1193.9514051783858,315.6140822032032),(1158.183277361254,323.5150317767029),(1193.9514051783858,315.6140822032032),(1193.9514051783858,315.6140822032032),(1106.516628336753,295.2552349324834),(1193.9514051783858,315.6140822032032),(1247.5080500056956,301.7904250238271)	
(1448,604)     	0.03    	0.0     	2       	0       	60.0    		
(388,279)      	0.07    	0.21    	4       	12      	60.0    	,(298.45984854326196,292.0394042131751),(505.1141797589935,347.30895783538267),(444.87920186944586,321.4871431530666),(304.6850783562985,293.66927105436423),(477.9801961933467,381.35214556006974),(371.7306237206166,345.1407035530825),(298.45984854326196,292.0394042131751),(298.45984854326196,292.0394042131751),(448.7019885890843,407.31809655028655),(389.1570412916204,331.09097192352897),(416.68973463804895,326.319688385527),(298.45984854326196,292.0394042131751)	
(1130,128)     	0.07    	0.0     	4       	0       	60.0    		
(916,402)      	0.0     	0.5     	0       	29      	60.0    	,(934.296055632152,316.3852725090318),(815.7141908074543,385.7773586089689),(834.1169526918487,319.81270594267863),(900.0398115215343,313.62318077245084),(836.2548160581291,319.85229726187873),(871.277367543555,383.9655303033232),(893.7158607147952,316.7870609185507),(798.467628429992,350.75739660478854),(798.4491674780841,352.01006058989515),(911.1988683800457,311.4500952175712),(879.7122036820001,314.5520852521954),(810.4035881808302,373.84717405229196),(798.4491674780841,352.01006058989515),(798.4491674780841,352.01006058989515),(810.4035881808302,373.84717405229196),(1007.6696417757098,294.54343064332255),(898.172975955704,373.29692485192965),(867.3156626323383,367.2284087253644),(828.6055935859667,487.97917505516176),(790.7250197025904,363.27881526651186),(810.4035881808302,373.84717405229196),(872.8181569100703,391.68435181931363),(798.4491674780841,352.01006058989515),(933.7226255151522,324.5520126048701),(1014.5167875030543,359.4395133155921),(810.4035881808302,373.84717405229196),(798.4491674780841,352.01006058989515),(798.4491674780841,352.01006058989515),(877.3141715838467,419.3296042994074)	
(1309,485)     	0.03    	0.0     	2       	0       	60.0    		
(858,14)       	0.0     	0.0     	0       	0       	60.0    		
平均准确率=0.1
